Hour,Light,Gamma,Photosynthesis,Sucrose,Starch,StarchDegr,StarchProd,SucroseProd,Nitrogen,Phosphorus,N_Aff,P_Aff,RespCost,UptakeCost,TransportCost,LeafBiomass,RootBiomass,TotalBiomass,Photoperiod,LimPhotRate,MaxPhotRate,MinLeafBiomass,FeedbackOnPhot,MaxStarch,MaxStarchDegr,MinSucrose,MaxSucrose,StarchNightStart,MinStarch,LambdaSdr,LambdaSdi,LambdaSni,LambdaG,LambdaSb,LambdaCsn,AssimCostN,AssimCostP,MinNPhotosynth,MinPPhotosynth,NutrConvParam,MaxNitrogen,MinNitrogen,MaxPhosphorus,MinPhosphorus,NitSoilContent,PhosSoilContent,MaxNitUptake,MaxPhosUptake,MMConstantN,MMConstantP,RootAllocation,StochSignal,LeafDeathRate,RootDeathRate,LeafCompRate,RootCompRate
0.0000,1,0.5868,0.5412,0.4642,8.3176,0.0000,0.3176,-3.2849,6.7170,0.7175,0.4571,0.5138,1.5800,0.0000,0.0134,0.0051,0.0050,0.0101,12.00,0.6960,12.7000,0.0010,0.6200,72.0000,6.0000,1.3000,2.0000,2.0000,0.1500,0.2500,0.1000,0.0800,0.6500,0.0059,0.0267,0.0460,0.0046,5.7500,0.5750,0.0660,247.3843,61.8461,24.7384,6.1846,12.0000,0.1500,6.4400,0.4000,0.1250,0.0067,0.4024,0.5165,0.0000,0.0000,0.0000,0.0000
1.0000,1,0.4960,0.9418,0.0895,8.7847,0.0000,0.4672,-0.6832,6.6361,0.7538,0.8784,0.3704,0.3689,0.3445,0.0122,0.0051,0.0050,0.0101,12.00,0.9561,12.7000,0.0010,0.6200,72.0000,6.0000,1.3000,2.0000,2.0000,0.1500,0.2500,0.1000,0.0800,0.6500,0.0059,0.0267,0.0460,0.0046,5.7500,0.5750,0.0660,1148.9379,287.2345,114.8938,28.7234,12.0000,0.1500,6.4400,0.4000,0.1250,0.0067,0.4008,0.5318,0.0000,0.0000,0.0000,0.0000
2.0000,1,0.3947,0.8665,0.1617,9.1267,0.0000,0.3420,0.1444,6.6579,0.7724,0.9376,0.2176,0.0740,0.1030,0.0028,0.0051,0.0050,0.0101,12.00,0.9536,12.7000,0.0010,0.6200,72.0000,6.0000,1.3000,2.0000,2.0000,0.1500,0.2500,0.1000,0.0800,0.6500,0.0059,0.0267,0.0460,0.0046,5.7500,0.5750,0.0660,1148.9379,287.2345,114.8938,28.7234,12.0000,0.1500,6.4400,0.4000,0.1250,0.0067,0.3987,0.5371,0.0000,0.0000,0.0000,0.0000
3.0000,1,0.3203,0.8845,0.1709,9.4100,0.0000,0.2833,0.0276,6.6825,0.7850,0.9489,0.1856,0.1394,0.1616,0.0010,0.0051,0.0051,0.0101,12.00,0.9518,12.7000,0.0010,0.6200,72.0000,6.0000,1.3000,2.0000,2.0000,0.1500,0.2500,0.1000,0.0800,0.6500,0.0059,0.0267,0.0460,0.0046,5.7500,0.5750,0.0660,1148.9379,287.2345,114.8938,28.7234,12.0000,0.1500,6.4400,0.4000,0.1250,0.0067,0.3973,0.5402,0.0000,0.0000,0.0000,0.0000
4.0000,1,0.2619,0.9052,0.1908,9.6471,0.0000,0.2370,0.0475,6.7260,0.7955,0.9522,0.1756,0.1517,0.1680,0.0014,0.0051,0.0051,0.0101,12.00,0.9503,12.7000,0.0010,0.6200,72.0000,6.0000,1.3000,2.0000,2.0000,0.1500,0.2500,0.1000,0.0800,0.6500,0.0059,0.0267,0.0460,0.0046,5.7500,0.5750,0.0660,1148.9379,287.2345,114.8938,28.7234,12.0000,0.1500,6.4400,0.4000,0.1250,0.0067,0.3990,0.5419,0.0000,0.0000,0.0000,0.0000
5.0000,1,0.2165,0.9430,0.2093,9.8513,0.0000,0.2042,0.0442,6.7860,0.8048,0.9542,0.1716,0.1733,0.1844,0.0016,0.0051,0.0051,0.0101,12.00,0.9491,12.7000,0.0010,0.6200,72.0000,6.0000,1.3000,2.0000,2.0000,0.1500,0.2500,0.1000,0.0800,0.6500,0.0059,0.0267,0.0460,0.0046,5.7500,0.5750,0.0660,1148.9379,287.2345,114.8938,28.7234,12.0000,0.1500,6.4400,0.4000,0.1250,0.0067,0.4014,0.5425,0.0000,0.0000,0.0000,0.0000
6.0000,1,0.1814,0.9949,0.2300,10.0318,0.0000,0.1805,0.0483,6.8646,0.8136,0.9552,0.1717,0.1934,0.1996,0.0018,0.0051,0.0051,0.0102,12.00,0.9480,12.7000,0.0010,0.6200,72.0000,6.0000,1.3000,2.0000,2.0000,0.1500,0.2500,0.1000,0.0800,0.6500,0.0059,0.0267,0.0460,0.0046,5.7500,0.5750,0.0660,1148.9379,287.2345,114.8938,28.7234,12.0000,0.1500,6.4400,0.4000,0.1250,0.0067,0.4045,0.5424,0.0000,0.0000,0.0000,0.0000
7.0000,1,0.1544,1.0628,0.2534,10.1959,0.0000,0.1641,0.0534,6.9644,0.8224,0.9552,0.1743,0.2154,0.2166,0.0020,0.0051,0.0051,0.0102,12.00,0.9471,12.7000,0.0010,0.6200,72.0000,6.0000,1.3000,2.0000,2.0000,0.1500,0.2500,0.1000,0.0800,0.6500,0.0059,0.0267,0.0460,0.0046,5.7500,0.5750,0.0660,1148.9379,287.2345,114.8938,28.7234,12.0000,0.1500,6.4400,0.4000,0.1250,0.0067,0.4080,0.5415,0.0000,0.0000,0.0000,0.0000
8.0000,1,0.1340,1.1477,0.2802,10.3497,0.0000,0.1538,0.0603,7.0880,0.8316,0.9551,0.1805,0.2397,0.2355,0.0022,0.0051,0.0051,0.0102,12.00,0.9462,12.7000,0.0010,0.6200,72.0000,6.0000,1.3000,2.0000,2.0000,0.1500,0.2500,0.1000,0.0800,0.6500,0.0059,0.0267,0.0460,0.0046,5.7500,0.5750,0.0660,1148.9379,287.2345,114.8938,28.7234,12.0000,0.1500,6.4400,0.4000,0.1250,0.0067,0.4123,0.5399,0.0000,0.0000,0.0000,0.0000
9.0000,1,0.1188,1.2514,0.3113,10.4983,0.0000,0.1486,0.0686,7.2389,0.8419,0.9539,0.1899,0.2671,0.2569,0.0024,0.0051,0.0051,0.0102,12.00,0.9454,12.7000,0.0010,0.6200,72.0000,6.0000,1.3000,2.0000,2.0000,0.1500,0.2500,0.1000,0.0800,0.6500,0.0059,0.0267,0.0460,0.0046,5.7500,0.5750,0.0660,1148.9379,287.2345,114.8938,28.7234,12.0000,0.1500,6.4400,0.4000,0.1250,0.0067,0.4173,0.5377,0.0000,0.0000,0.0000,0.0000
